代码,名称,多因子等级,多因子评分,推荐等级,推荐评分,信号确认分,总市值(亿),流通市值(亿),PE(TTM),市净率,换手率%,筹码平均成本,筹码集中度%,90%成本区间宽度%,现价相对筹码成本%,筹码集中度分,成本贴合分,估值分,换手率分,市值分,估值日期,数据截至,最新收盘,前低日期,前低价,本次低日期,本次低价,DIF抬高,MACD柱抬高,当前DIF,当前DEA,当前MACD柱,站上MA20,站上MA60,距背离低点%,近5日/20日均量,最新成交额(亿),强度分位,原综合分
002233,塔牌集团,A,73.42,B,61.41,4,83.83,83.8,20.05146909,0.71555067,1.101273194782768,8.11984107210043,56.68572934860714,26.668490386211197,-12.067244462051596,85.8,42.6,95.0,91.6,100.0,2026-09-22,2026-09-22,7.14,2026-06-11,7.4,2026-09-07,7.02,0.2044724797723924,0.0746067199016058,-0.0402073494784538,-0.0489283548567823,0.0174420107566569,False,False,1.7094017094017109,1.1181152020684924,0.92,0.632,109.53660820616224
601226,华电科工,A,72.35,A,89.19,6,78.45,78.45,43.8230983,1.77419919,1.6018947126960152,8.864057970428211,27.86716056504817,66.46806023606516,-23.84977599967212,27.9,21.2,65.7,93.4,100.0,2026-09-22,2026-09-22,6.75,2026-06-11,6.722,2026-09-08,6.42,0.611830911185149,0.1457719239200978,0.0960919505669286,0.0846844486325399,0.0228150038687774,True,True,5.140186915887852,1.1810077285186182,1.26,0.907,137.96393050685032
603158,腾龙股份,A,71.7,B,72.21,5,53.25,53.25,70.58115085,2.3305986,2.763880414340116,11.940439197957327,41.938347397478424,50.7113112467395,-9.13232067832036,60.8,55.1,48.4,97.4,100.0,2026-09-22,2026-09-22,10.85,2026-06-29,11.19,2026-09-11,10.28,0.6573150238924086,0.3616582027000746,0.0314551237284881,0.0570894229523294,-0.0512685984476826,True,True,5.544747081712066,0.8228447359435098,1.47,0.725,116.75900313497588
002335,科华数据,A,70.48,B,68.78,5,228.28,199.74,40.00394873,3.47847683,4.431487628858515,39.24738413168611,48.11061322629931,45.928258584165306,-22.899320121643996,72.1,22.1,68.3,96.7,100.0,2026-09-22,2026-09-22,30.26,2026-07-21,28.35,2026-09-11,28.19,1.964756547898439,1.4516591468088875,-0.4438287664975959,-0.5497137065931226,0.2117698801910532,True,False,7.343029443064918,1.056402511734708,8.85,0.676,112.56243169394727
603305,旭升集团,A,70.25,B,72.04,6,130.25,130.25,32.38381112,1.40151104,1.284614526986335,15.16401408809036,42.715763927106835,60.485653078852096,-25.67930935350867,61.8,20.0,73.4,92.2,100.0,2026-09-22,2026-09-22,11.27,2026-06-29,11.37,2026-09-02,11.11,0.7020096480660101,0.3681449355288615,-0.1221866241032945,-0.1696276660789145,0.09488208395124,True,False,1.4401440144014417,1.2180478686361471,1.67,0.662,111.9542751134419
300565,科信技术,A,70.18,A,85.6,5,25.05,22.89,-31.66778399,4.91299724,3.1619795425734156,12.555787005788225,43.16527979510757,50.30683579178362,-20.116516827052234,63.7,24.9,20.0,98.8,77.4,2026-09-22,2026-09-22,10.03,2026-06-10,11.44,2026-09-04,9.88,0.6584248469637597,0.4956687156159459,0.0583959231144906,0.07692159797183,-0.0370513497146789,True,True,1.518218623481767,1.0734442546660088,0.72,0.917,139.20325774924842
002838,道恩股份,A,69.64,B,68.1,5,121.13,106.51,35.43760414,3.15826732,0.9391417618870489,28.474519189235146,40.74293839778819,42.31810749041872,-11.078393170648226,59.3,46.8,71.4,82.8,100.0,2026-09-22,2026-09-22,25.32,2026-08-04,24.36,2026-09-11,23.57,1.359371788401976,1.1644371657253427,-0.2212863646840226,-0.3793572081443128,0.3161416869205804,True,False,7.424692405600339,0.8170980236786907,1.0,0.667,112.09006994614602
300569,天能重工,A,68.83,B,68.27,4,50.62,50.47,55.64470544,0.96658528,2.6835144660974706,6.201101465463395,45.47983620610658,53.766732494085566,-20.17547160663824,67.6,24.8,57.8,97.1,100.0,2026-09-22,2026-09-22,4.95,2026-06-10,4.72,2026-09-08,4.62,0.3072482035789639,0.0704482386392108,0.0764442369346269,0.0492645319698986,0.0543594099294567,True,True,7.142857142857144,1.6314446954457986,1.35,0.73,116.76085903763789
002516,旷达科技,B,81.73,B,72.22,3,83.69,83.1,38.14924008,2.21775776,1.0360023043143012,5.975344864727549,74.09193506902727,26.48955824877207,-4.775370647005472,97.1,85.8,69.5,91.4,100.0,2026-09-22,2026-09-22,5.69,2026-06-05,5.68,2026-09-04,5.38,0.0284465939107905,0.1355668569068473,0.0878996974656214,0.0990382070906507,-0.0222770192500585,True,True,5.762081784386627,0.714492830897268,0.86,0.848,128.113497971607
002654,万润科技,B,69.02,B,66.04,3,117.75,117.74,251.88178915,7.43222325,3.59603290389983,15.452935411013648,54.155378311851365,48.22485038602638,-9.855314673277016,80.9,52.0,20.0,99.7,100.0,2026-09-22,2026-09-22,13.93,2026-06-08,14.052,2026-09-03,13.3,0.2086890986211287,0.7626470085669439,0.0869676205746401,0.0395020437426879,0.0949311536639044,True,False,4.73684210526315,0.8876018110674585,4.23,0.76,119.9398577420456
300603,立昂技术,B,68.57,A,86.45,6,38.44,30.92,-23.93007174,3.09240215,3.754966277856904,10.04097204674377,31.90305496640391,45.36483554889684,-17.637456199453183,39.2,27.4,20.0,99.1,91.4,2026-09-22,2026-09-22,8.27,2026-06-11,8.33,2026-09-11,7.81,0.6643432926518447,0.3582285549060953,0.038622298501318,0.0350097299109778,0.0072251371806804,True,True,5.8898847631242,0.9856607025041187,1.16,0.868,129.6071367716793
688128,中国电器研究院,B,68.09,A,75.13,6,89.48,89.48,16.57005343,2.48728715,42.12452410383189,26.420686214368903,45.417831362173125,41.742141503501784,-16.277723369766118,67.2,28.7,93.3,20.0,100.0,2026-09-22,2026-09-22,22.12,2026-06-29,22.05,2026-09-14,20.95,0.4569683641964097,0.5148235355422247,-0.0261450697259419,-0.0864110952463513,0.1205320510408187,True,True,5.584725536992848,0.8016806070439069,37.69,0.706,115.67428737354528
300254,仟源医药,B,68.0,A,84.39,6,23.43,20.71,81.48496144,5.21037367,4.061531726189209,10.29561475697536,27.3606465792416,60.71416271442711,-11.515725723634873,27.0,44.9,41.6,98.0,75.2,2026-09-22,2026-09-22,9.11,2026-06-08,9.04,2026-09-03,8.58,0.9867555196502806,0.6821180658200128,0.0126167770120826,-0.0012635712928562,0.0277606966098778,True,True,6.17715617715617,0.7821729391195897,0.84,0.838,126.6452775080498
601727,上海电气,B,67.23,B,72.21,7,1038.08,842.72,76.58502349,1.87549327,0.8801123304375275,8.47035742233205,56.26926086344256,39.138434824639916,-21.136739963437467,84.3,23.9,44.6,80.7,71.7,2026-09-22,2026-09-22,6.68,2026-06-26,6.826,2026-09-03,6.52,0.2389485802883415,0.0801988925343118,-0.0493096818175375,-0.0561379096086161,0.013656455582157,True,True,2.4539877300613524,1.1779416880282298,7.42,0.603,108.21776481328986
688122,西部超导,B,67.06,A,86.97,5,330.94,330.94,51.83652844,4.58042077,119.77654675502454,68.20229220185378,37.70559134372641,60.60473387852515,-25.310428204910952,53.9,20.0,60.4,20.0,98.0,2026-09-22,2026-09-22,50.94,2026-06-26,52.68,2026-09-11,47.96,1.858108944559099,0.3366847392032879,-0.1550638791409113,-0.3638010131967654,0.4174742681117082,True,False,6.213511259382813,0.8948606792262486,396.39,0.936,147.126439792976
000006,深振业Ａ,B,66.98,A,77.53,6,98.41,98.41,-146.86064336,1.86894461,2.211578486044311,9.251725839823072,38.4044480690361,72.42970076795083,-21.203890752782918,54.4,23.8,20.0,95.5,100.0,2026-09-22,2026-09-22,7.29,2026-06-29,7.08,2026-09-03,6.94,0.5693445967496809,0.0495671450924325,0.0075367762581093,-0.0065125593041177,0.0280986711244541,True,True,5.043227665706047,0.9648260995675212,2.18,0.74,118.3285697665484
603031,安孚科技,B,66.65,B,65.7,3,155.48,136.2,49.21929642,5.39911583,2.3736318600499766,43.824664623910174,24.400929519781865,69.28840442531641,-5.099102624258222,19.6,83.2,62.1,96.1,100.0,2026-09-22,2026-09-22,41.59,2026-07-08,43.98,2026-09-14,38.75,0.970946784813556,2.3386730459568694,0.4287904797352553,0.3308910242941802,0.19579891088215,True,False,7.329032258064524,0.8226512156876619,3.23,0.755,119.540133446433
603416,信捷电气,B,66.34,B,51.63,3,73.59,65.42,26.08673726,2.73562114,0.8772726894878912,54.95469650792128,56.28542457123184,31.71109149447431,-14.693369304218384,84.8,31.3,92.0,80.6,100.0,2026-09-22,2026-09-22,46.88,2026-07-29,46.07,2026-09-11,45.0,1.4263766227691193,1.822316693382504,-0.4886791774496686,-0.6291820844312461,0.281005813963155,False,False,4.177777777777783,0.8488401377573468,0.57,0.554,105.6823901415631
002706,良信股份,B,65.76,B,58.49,3,98.72,80.43,57.13881802,2.34002927,2.484858871454483,10.997711773852432,53.179370993110254,42.975662143742774,-20.074282898569585,77.5,24.9,56.8,96.4,100.0,2026-09-22,2026-09-22,8.79,2026-07-09,9.53,2026-09-02,9.05,0.5451492379445604,0.3238907375492186,-0.2396704141288825,-0.2011064267896615,-0.077127974678442,False,False,-2.872928176795597,1.079964565465475,2.0,0.652,110.773445564253
002568,百润股份,B,65.69,B,30.52,6,190.51,139.39,26.19718131,3.81610258,1.2124257404487708,19.0066086896353,70.52082102503319,45.59207148635938,-3.770313270173664,94.6,93.8,91.9,92.0,100.0,2026-09-22,2026-09-22,18.29,2026-08-31,17.35,2026-09-11,17.08,0.0286309117320904,0.3643835144270245,-0.0934340824621848,-0.1760974338135305,0.1653267027026912,True,True,7.084309133489467,0.9103276749335248,1.69,0.069,60.93462730519449
300128,锦富技术,B,65.43,A,82.85,5,65.87,65.77,-19.96011703,18.27563462,1.5930635190391327,6.531767127442179,28.69251657290347,57.838874635717715,-22.37935154333346,30.4,22.6,20.0,93.3,100.0,2026-09-22,2026-09-22,5.07,2026-06-29,5.23,2026-09-15,4.71,0.4548225795633698,0.2553467367782481,0.0509298035298142,0.058452785366884,-0.0150459636741395,True,True,7.643312101910834,0.7049321661793388,1.05,0.877,130.10895510733204
600930,华电新能源集团,B,65.36,A,90.06,5,1651.89,425.43,33.97270329,1.48933143,0.7999910316441162,5.649586195605196,22.106139055525542,55.045789591994435,-29.906370787289216,13.2,20.0,72.3,77.9,58.3,2026-09-22,2026-09-22,3.96,2026-07-27,4.08,2026-09-15,3.88,0.2011810254316293,0.0460121168885713,-0.0477179412444415,-0.0708683979438903,0.0463009133988976,True,False,2.061855670103095,1.254819327168324,3.4,0.98,234.21027530758025
000036,华联控股,B,65.33,B,67.41,5,56.85,56.82,59.34025261,1.10511385,2.245005086600478,5.21949452464219,37.046934576318414,57.776933679575514,-22.40627936519125,51.0,22.6,55.3,95.6,100.0,2026-09-22,2026-09-22,4.05,2026-07-09,3.9,2026-09-02,3.88,0.2215841890868155,0.1135097786021582,-0.0417443278201976,-0.0664183984277165,0.0493481412150377,True,False,4.381443298969071,1.0938561839402077,1.28,0.657,110.98220872070137
301120,新特电气,B,65.1,A,74.78,6,56.16,33.98,114.96346313,3.57654673,2.262752800634974,20.259075624262838,37.298486735024326,62.35126651613058,-25.7123065280644,52.5,20.0,20.0,95.7,100.0,2026-09-22,2026-09-22,15.05,2026-06-11,17.68,2026-09-02,14.58,0.8255060776849739,1.520047832797553,-0.0829221890564912,-0.1235806987806275,0.0813170194482724,True,True,3.2235939643347096,0.8156192729020875,0.77,0.701,114.35427831930758
